entity_a,entity_b,transaction_count
BROOKFIELD RESIDENTIAL TEXAS HOMES LLC,CARMA PROPERTIES WESTPORT LLC,240
LENDINGHOME FUNDING CORPORATION,PURCHASING FUND 2019-2 LLC,85
PURCHASING FUND 2019-1 LLC,TUSKER CAPITAL FUND LLC,68
AH4R PROPERTIES LLC,LGI HOMES-TEXAS LLC,62
PARK PLACE FINANCE LLC,TOORAK CAPITAL PARTNERS LLC,56
PARK PLACE FINANCE LLC,TOORAK CAPITAL PARTNERS LLC(+),50
PARK PLACE FINANCE INC,TOORAK CAPITAL PARTNERS LLC,50
GENESIS CAPITAL LLC,THADDEUS DREW ENTERPRISES LLC,50
AH4R PROPERTIES LLC,AMH TX PROPERTIES LP,45
AMERICAN HOMES 4 RENT PROPERTIES EIGHT LLC,AMH TX PROPERTIES LP,45
CHURCHILL FUNDING I LLC,HOUSEMAX FUNDING FUND I LLC,39
HP TEXAS I LLC,HPA TEXAS LENDING LLC,35
HP TEXAS I LLC(+),HPA TEXAS LENDING LLC,30
HOUSEMAX FUNDING LLC,TOORAK CAPITAL PARTNERS LLC,30
FEDERAL DEPOSIT INSURANCE CORPORATION,LNV CORPORATION,26
AH4R PROPERTIES LLC(+),AMH TX PROPERTIES LP,25
LENDINGHOME FUNDING CORPORATION,WOLFE CAPITAL INVESTMENTS LLC,25
PARK PLACE FINANCE INC(+),TOORAK CAPITAL PARTNERS LLC,25
PARK PLACE FINANCE INC(+),PARK PLACE FINANCE LLC,24
KENSINGTON PEAVY LLC,KIAVI FUNDING INC,22
HOUSEMAX FUNDING FUND I LLC,WILMINGTON SAVINGS FUND SOCIETY,22
ANCHOR LOANS LP,ANCHOR-HB LLC,20
PACIFIC LIFE INSURANCE COMPANY,PARK PLACE FINANCE LLC(+),19
AH4R PROPERTIES LLC,LENNAR HOMES OF TEXAS SALES AND MARKETING LTD,18
AMERICAN HOMES 4 RENT PROPERTIES TWO LLC(+),AMH TX PROPERTIES LP,18
HPA BORROWER 2018-1 MS LLC,HPA TEXAS LENDING LLC,18
MERCHANTS FUNDING LLC,TOORAK CAPITAL PARTNERS LLC,18
AMERICAN HOMES 4 RENT PROPERTIES ONE LLC,AMH TX PROPERTIES LP,15
ANCHOR ASSETS XVIII LLC,ANCHOR LOANS LP,14
KENSINGTON PEAVY LLC,LENDINGHOME FUNDING CORPORATION,13
ANCHOR LOANS LP,DOORS DEVELOPMENT GOLD LLC,13
AMH ADDISON DEVELOPMENT LLC,AMH TX PROPERTIES LP,12
DOWNUNDER MANAGEMENT LLC,LENDINGHOME FUNDING CORPORATION,12
PURCHASING FUND 2025-4 LLC,TUSKER CAPITAL FUND LLC,12
ANCHOR LOANS LP,RESIDENTIAL INVESTMENT TRUST IV,12
LNV CORPORATION,MORTGAGE ELECTRONIC REGISTRATION SYSTEMS INC,11
LENDINGHOME FUNDING CORPORATION,PURCHASING FUND 2019-2 LLC(+),11
FRESH REMODELS LLC,KIAVI FUNDING INC,11
R AND R AUSTIN INVESTMENTS LLC,TUSKER CAPITAL FUND LLC,11
GENESIS CAPITAL LLC,OFFERPAD SPV BORROWER G LLC,11
PARK PLACE FINANCE LLC,RESOLUTE QUARTERS LLC,11
AH4R I TX LLC(+),AMH TX PROPERTIES LP,10
HOMEWARD PROPERTIES LLC,PURCHASING FUND 2019-2 LLC,10
TOORAK CAPITAL PARTNERS LLC,TVC FUNDING III LLC,10
BODHI HOLDINGS LLC,HOUSEMAX FUNDING FUND I LLC,10
