Property_ID,Owner_Name,Mailing_Address,Property_Address,Match_Reason
100012,1219 SOUTH LAMAR VENTURE LLC,% BLACKROCK REALTY ADVISORS JENNIFER FREEDMAN 400 HOWARD ST SAN FRANCISCO CA 941052618,S LAMAR BLVD 78704,Keyword: SOUTH LAMAR VENTURE
1000178P,HUNGRY GIANT WASTE SYSTEMS LLC,5900 BALCONES DR STE 100 AUSTIN TX US 787314298,KRAMER LN AUSTIN 78758,Cluster: 10 entities at this mailing address
1000188,MILKY RIVER DEVELOPMENT INC,2100 NORTHLAND DR AUSTIN TX 787561116,SILENT NOVA VW 78730,Cluster: 11 entities at this mailing address
1000258,SRPF C/DALTON LANE LP,2001 ROSS AVE STE 400 DALLAS TX 752012916,DALTON LN 78741,HQ Zip: 75201 (TX)
1000259,SRPF C/DALTON LANE LP,2001 ROSS AVE STE 400 DALLAS TX 752012916,DALTON LN 78741,HQ Zip: 75201 (TX)
1000260,SRPF C/DALTON LANE LP,2001 ROSS AVE STE 400 DALLAS TX 752012916,DALTON LN 78741,HQ Zip: 75201 (TX)
1000261,SRPF C/DALTON LANE LP,2001 ROSS AVE STE 400 DALLAS TX 752012916,DALTON LN 78741,HQ Zip: 75201 (TX)
1000262,SRPF C/DALTON LANE LP,2001 ROSS AVE STE 400 DALLAS TX 752012916,DALTON LN 78741,HQ Zip: 75201 (TX)
1000263,SRPF C/DALTON LANE LP,2001 ROSS AVE STE 400 DALLAS TX 752012916,DALTON LN 78741,HQ Zip: 75201 (TX)
1000264,SRPF C/DALTON LANE LP,2001 ROSS AVE STE 400 DALLAS TX 752012916,DALTON LN 78741,HQ Zip: 75201 (TX)
1000265,SRPF C/DALTON LANE LP,2001 ROSS AVE STE 400 DALLAS TX 752012916,DALTON LN 78741,HQ Zip: 75201 (TX)
1000266,SRPF C/DALTON LANE LP,2001 ROSS AVE STE 400 DALLAS TX 752012916,BASTROP HWY 78741,HQ Zip: 75201 (TX)
1000267,SRPF C/DALTON LANE LP,2001 ROSS AVE STE 400 DALLAS TX 752012916,BASTROP HWY 78741,HQ Zip: 75201 (TX)
1000268,SRPF C/DALTON LANE LP,2001 ROSS AVE STE 400 DALLAS TX 752012916,BASTROP HWY 78741,HQ Zip: 75201 (TX)
1000269,SRPF C/DALTON LANE LP,2001 ROSS AVE STE 400 DALLAS TX 752012916,DALTON LN 78741,HQ Zip: 75201 (TX)
1000643,MILKY RIVER DEVELOPMENT INC,2100 NORTHLAND DR AUSTIN TX 787561116,MOONDUST LN AUSTIN 78730,Cluster: 11 entities at this mailing address
1000644,MILKY RIVER DEVELOPMENT INC,2100 NORTHLAND DR AUSTIN TX 787561116,SILENT NOVA VW AUSTIN 78730,Cluster: 11 entities at this mailing address
1000645,MILKY RIVER DEVELOPMENT INC,2100 NORTHLAND DR AUSTIN TX 787561116,SILENT NOVA VW AUSTIN 78730,Cluster: 11 entities at this mailing address
1000751,KOENIG DEVELOPMENT INC,2100 NORTHLAND DR AUSTIN TX 787561116,W 56 ST 78751,Cluster: 11 entities at this mailing address
1000752,KOENIG DEVELOPMENT INC,2100 NORTHLAND DR AUSTIN TX 787561116,W 56 ST 78751,Cluster: 11 entities at this mailing address
1000753,KOENIG DEVELOPMENT INC,2100 NORTHLAND DR AUSTIN TX 787561116,W 56 ST 78751,Cluster: 11 entities at this mailing address
1000754,KOENIG DEVELOPMENT INC,2100 NORTHLAND DR AUSTIN TX 787561116,W 56 ST 78751,Cluster: 11 entities at this mailing address
1000755,KOENIG DEVELOPMENT INC,2100 NORTHLAND DR AUSTIN TX 787561116,W 56 ST 78751,Cluster: 11 entities at this mailing address
1000756,KOENIG DEVELOPMENT INC,2100 NORTHLAND DR AUSTIN TX 787561116,W 56 ST 78751,Cluster: 11 entities at this mailing address
1000757,KOENIG DEVELOPMENT INC,2100 NORTHLAND DR AUSTIN TX 787561116,W 56 ST 78751,Cluster: 11 entities at this mailing address
1000758,KOENIG DEVELOPMENT INC,2100 NORTHLAND DR AUSTIN TX 787561116,W 56 ST 78751,Cluster: 11 entities at this mailing address
1000767,5107 RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000768,5107 RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000769,5107 RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000770,5107 RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000771,5107 RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000772,5107 RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000773,5107 RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000774,5107 RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000775,5107 RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000776,5107 RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000777,5107 RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000778,5107 RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000779,5107 RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000780,5107 RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000781,5107 RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000782,5107 RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000783,5107 RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000784,5107 RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000785,5107 RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000786,5107 RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000787,5107 RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000788,5107 RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000789,5107 RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000790,5107 RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000791,5107 RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000792,5107 RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000793,5107 RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000794,5107 RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000795,5107 RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000796,5107 RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000797,5107 RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000798,5107 RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000799,5107 RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000800,5107 RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000801,5107 RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000802,5107 RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000803,5107 RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000804,5107 RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000805,5107 RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000806,5107 RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000807,5107 RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000808,5107 RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000809,5107 RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000810,5107 RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000871,5201 MANOR ROAD LLC,3839 BEE CAVES RD STE 200 AUSTIN TX 787466400,MANOR RD 78723,Cluster: 14 entities at this mailing address
1000872,5201 MANOR ROAD LLC,3839 BEE CAVES RD STE 200 AUSTIN TX 787466400,MANOR RD 78723,Cluster: 14 entities at this mailing address
1000873,5201 MANOR ROAD LLC,3839 BEE CAVES RD STE 200 AUSTIN TX 787466400,MANOR RD 78723,Cluster: 14 entities at this mailing address
1000936,ENCLAVE AT LAKE'S EDGE HOLDINGS LLC,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,ASHLEY WORTH BLVD 78738,Cluster: 15 entities at this mailing address
1000937,ENCLAVE AT LAKE'S EDGE HOLDINGS LLC,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,ASHLEY WORTH BLVD 78738,Cluster: 15 entities at this mailing address
1000938,ENCLAVE AT LAKE'S EDGE HOLDINGS LLC,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,ASHLEY WORTH BLVD 78738,Cluster: 15 entities at this mailing address
1000939,ENCLAVE AT LAKE'S EDGE HOLDINGS LLC,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,ASHLEY WORTH BLVD 78738,Cluster: 15 entities at this mailing address
1000940,ENCLAVE AT LAKE'S EDGE HOLDINGS LLC,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,ASHLEY WORTH BLVD 78738,Cluster: 15 entities at this mailing address
1000941,ENCLAVE AT LAKE'S EDGE HOLDINGS LLC,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,ASHLEY WORTH BLVD 78738,Cluster: 15 entities at this mailing address
1000942,ENCLAVE AT LAKE'S EDGE HOLDINGS LLC,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,ASHLEY WORTH BLVD 78738,Cluster: 15 entities at this mailing address
1000943,ENCLAVE AT LAKE'S EDGE HOLDINGS LLC,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,ASHLEY WORTH BLVD 78738,Cluster: 15 entities at this mailing address
1000944,ENCLAVE AT LAKE'S EDGE HOLDINGS LLC,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,ASHLEY WORTH BLVD 78738,Cluster: 15 entities at this mailing address
1000945,ENCLAVE AT LAKE'S EDGE HOLDINGS LLC,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,ASHLEY WORTH BLVD 78738,Cluster: 15 entities at this mailing address
1000946,ENCLAVE AT LAKE'S EDGE HOLDINGS LLC,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,ASHLEY WORTH BLVD 78738,Cluster: 15 entities at this mailing address
1000947,ENCLAVE AT LAKE'S EDGE HOLDINGS LLC,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,ASHLEY WORTH BLVD 78738,Cluster: 15 entities at this mailing address
