Property_ID,Owner_Name,Mailing_Address,Property_Address,Match_Reason
100012,SOUTH LAMAR VENTURE LLC,% BLACKROCK REALTY ADVISORS JENNIFER FREEDMAN 400 HOWARD ST SAN FRANCISCO CA 941052618,1219 LAMAR BLVD 78704,Keyword: BLACKROCK REALTY ADVISORS
1000258,SRPF C/DALTON LANE LP,2001 ROSS AVE STE 400 DALLAS TX 752012916,DALTON LN 78741,HQ Zip: 75201 (TX)
1000259,SRPF C/DALTON LANE LP,2001 ROSS AVE STE 400 DALLAS TX 752012916,DALTON LN 78741,HQ Zip: 75201 (TX)
1000260,SRPF C/DALTON LANE LP,2001 ROSS AVE STE 400 DALLAS TX 752012916,DALTON LN 78741,HQ Zip: 75201 (TX)
1000261,SRPF C/DALTON LANE LP,2001 ROSS AVE STE 400 DALLAS TX 752012916,DALTON LN 78741,HQ Zip: 75201 (TX)
1000262,SRPF C/DALTON LANE LP,2001 ROSS AVE STE 400 DALLAS TX 752012916,DALTON LN 78741,HQ Zip: 75201 (TX)
1000263,SRPF C/DALTON LANE LP,2001 ROSS AVE STE 400 DALLAS TX 752012916,DALTON LN 78741,HQ Zip: 75201 (TX)
1000264,SRPF C/DALTON LANE LP,2001 ROSS AVE STE 400 DALLAS TX 752012916,DALTON LN 78741,HQ Zip: 75201 (TX)
1000265,SRPF C/DALTON LANE LP,2001 ROSS AVE STE 400 DALLAS TX 752012916,DALTON LN 78741,HQ Zip: 75201 (TX)
1000266,SRPF C/DALTON LANE LP,2001 ROSS AVE STE 400 DALLAS TX 752012916,BASTROP HWY 78741,HQ Zip: 75201 (TX)
1000267,SRPF C/DALTON LANE LP,2001 ROSS AVE STE 400 DALLAS TX 752012916,BASTROP HWY 78741,HQ Zip: 75201 (TX)
1000268,SRPF C/DALTON LANE LP,2001 ROSS AVE STE 400 DALLAS TX 752012916,BASTROP HWY 78741,HQ Zip: 75201 (TX)
1000269,SRPF C/DALTON LANE LP,2001 ROSS AVE STE 400 DALLAS TX 752012916,DALTON LN 78741,HQ Zip: 75201 (TX)
1000767,RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000768,RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000769,RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000770,RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000771,RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000772,RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000773,RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000774,RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000775,RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000776,RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000777,RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000778,RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000779,RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000780,RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000781,RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000782,RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
1000783,RIVERSIDE LP,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521,RIVERSIDE FARMS RD 78741,Cluster: 15 entities at this mailing address
