Mailing_Address,Num_Entities,Sample_Entities
5900 BALCONES DR STE 100 AUSTIN TX 787314298,113,MT2 LLC-SERIES E; WEST FAMILY AUSTIN PROPERTIES LLC; ATX OFFICE PROPERTIES LLC; AMF TX PROPCO LLC; SAVITR LLC
3225 MCLEOD DR STE 777 LAS VEGAS NV 891212257,60,COLORFUL DWELLINGS 6815 TRUST & PINK PIGS LLC; COLORFUL DWELLINGS 2206 TRUST & PINK PIGS LLC; MELRIDGE PLACE LLC; DILAWAR GROUP LLC; KLATTENHOFF TRUST
1108 LAVACA ST STE 110-348 AUSTIN TX 787012172,56,1517 EAST 12TH STREET LP; 2015 KENNETH NOISEWATER LP; 2017 FOZZIE BEAR LP; 2016 TIGER TERRACE LP; 2017 PIRATE BOOTY LP
% GOODWIN MANAGEMENT INC PO BOX 203310 AUSTIN TX 787203310,32,BALCONES WOODS CLUB INC; HARRIS BRANCH RESIDENTIAL PROP OWNERS INC; TARBOX VENTURES INC; VISTA GRANDE HOMEOWNERS ASSN INC; MESA FOREST HOMEOWNERS ASSOCIATION INC
PO BOX 304 DRIFTWOOD TX 786190304,28,MACDONALD-HOMES VIII LLC; THE THREE FORWARDSIDERS LLC; MACDONALD-HOMES VII LLC; LIVI YOUNG TEAM LLC; MACDONALD-HOMES XVII LLC
609A WOOD ST AUSTIN TX 787035417,27,1500 E 6TH ST LLC; BLUFF BEND-E BRAKER LN LLC; 3412 EAST 4TH ST LLC; 7901 CAMERON RD LLC; 1321 & 1323 CONGRESS AVE LLC
1221 S MOPAC EXPY STE 200 AUSTIN TX 77046,26,CPT 1801 EAST 6TH LP; 3300 SOUTH LAMAR LP; BEN WHITE QOZB LP; 6TH & ONION EAST LP; 3901 SOUTH LAMAR LP
3267 BEE CAVES RD STE 107 PMB 92 AUSTIN TX 787466700,26,7200 COOPER LN LLC; 4917 AIRPORT BLVD LLC; 10611 RESEARCH BLVD LLC; 913 MONTOPOLIS DR LLC; 1133 AIRPORT BLVD LLC
"5808 BALCONES DRIVE, SUITE 200 AUSTIN TX US 787314265",23,10901 FM 812 LLC; 7600 BURLESON RD LLC; 13200 FM 969 LLC; 6311 BURNET LLC; 5537 LOYOLA LLC
PO BOX B KINGSVILLE TX 783641604,23,TAJ 2419 FOREST LLC; TAJ 1415 PALO DURO LLC; TAJ 6004 BROWN ROCK TRAIL LLC; JNJ 3602 COUNSELOR LLC; TAJ 509 TREYS WAY LLC
