property_id,property_address,owner,bucket_keyword,warehouse_score,signals,is_developer_likely,mailing_address
197085,1112 12 ST 78702,2013 AUSTIN EAST 12TH STREET LP,,2,cluster:56; concentration:8,,1108 LAVACA ST STE 110-348 AUSTIN TX 787012172
197086,1110 12 ST 78702,2013 AUSTIN EAST 12TH STREET LP,,2,cluster:56; concentration:8,,1108 LAVACA ST STE 110-348 AUSTIN TX 787012172
197087,1108 12 ST 78702,2013 AUSTIN EAST 12TH STREET LP,,2,cluster:56; concentration:8,,1108 LAVACA ST STE 110-348 AUSTIN TX 787012172
197088,1104 12 ST 78702,2013 AUSTIN EAST 12TH STREET LP,,2,cluster:56; concentration:8,,1108 LAVACA ST STE 110-348 AUSTIN TX 787012172
197265,1604 12 ST 78702,2013 AUSTIN EAST 12TH STREET LP,,2,cluster:56; concentration:8,,1108 LAVACA ST STE 110-348 AUSTIN TX 787012172
197272,1514 12 ST 78702,2013 AUSTIN EAST 12TH STREET LP,,2,cluster:56; concentration:8,,1108 LAVACA ST STE 110-348 AUSTIN TX 787012172
197297,1800 12 ST 78702,2013 AUSTIN EAST 12TH STREET LP,,2,cluster:56; concentration:8,,1108 LAVACA ST STE 110-348 AUSTIN TX 787012172
951798,0.2020AC OF LOT 7A PATTERSON J H SUBD RESUB OF LOT 7-8 BLK 15,2013 AUSTIN EAST 12TH STREET LP,,2,cluster:56; concentration:8,,1108 LAVACA ST STE 110-348 AUSTIN TX 787012172
310887,208 PICKLE RD 78704,3423 PICKLE LLC,,2,cluster:10; concentration:6,,PO BOX 40127 AUSTIN TX 787040003
310890,112 LESSIN LN 78704,3423 PICKLE LLC,,2,cluster:10; concentration:6,,PO BOX 40127 AUSTIN TX 787040003
310891,116 LESSIN LN 78704,3423 PICKLE LLC,,2,cluster:10; concentration:6,,PO BOX 40127 AUSTIN TX 787040003
310892,204 LESSIN LN 78704,3423 PICKLE LLC,,2,cluster:10; concentration:6,,PO BOX 40127 AUSTIN TX 787040003
310913,3612 CONGRESS AVE 78704,3423 PICKLE LLC,,2,cluster:10; concentration:6,,PO BOX 40127 AUSTIN TX 787040003
310915,121 PICKLE RD 78704,3423 PICKLE LLC,,2,cluster:10; concentration:6,,PO BOX 40127 AUSTIN TX 787040003
1000767,RIVERSIDE FARMS RD 78741,5107 RIVERSIDE LP,,2,cluster:15; concentration:44,,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521
1000768,RIVERSIDE FARMS RD 78741,5107 RIVERSIDE LP,,2,cluster:15; concentration:44,,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521
1000769,RIVERSIDE FARMS RD 78741,5107 RIVERSIDE LP,,2,cluster:15; concentration:44,,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521
1000770,RIVERSIDE FARMS RD 78741,5107 RIVERSIDE LP,,2,cluster:15; concentration:44,,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521
1000771,RIVERSIDE FARMS RD 78741,5107 RIVERSIDE LP,,2,cluster:15; concentration:44,,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521
1000772,RIVERSIDE FARMS RD 78741,5107 RIVERSIDE LP,,2,cluster:15; concentration:44,,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521
1000773,RIVERSIDE FARMS RD 78741,5107 RIVERSIDE LP,,2,cluster:15; concentration:44,,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521
1000774,RIVERSIDE FARMS RD 78741,5107 RIVERSIDE LP,,2,cluster:15; concentration:44,,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521
1000775,RIVERSIDE FARMS RD 78741,5107 RIVERSIDE LP,,2,cluster:15; concentration:44,,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521
1000776,RIVERSIDE FARMS RD 78741,5107 RIVERSIDE LP,,2,cluster:15; concentration:44,,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521
1000777,RIVERSIDE FARMS RD 78741,5107 RIVERSIDE LP,,2,cluster:15; concentration:44,,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521
1000778,RIVERSIDE FARMS RD 78741,5107 RIVERSIDE LP,,2,cluster:15; concentration:44,,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521
1000779,RIVERSIDE FARMS RD 78741,5107 RIVERSIDE LP,,2,cluster:15; concentration:44,,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521
1000780,RIVERSIDE FARMS RD 78741,5107 RIVERSIDE LP,,2,cluster:15; concentration:44,,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521
1000781,RIVERSIDE FARMS RD 78741,5107 RIVERSIDE LP,,2,cluster:15; concentration:44,,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521
1000782,RIVERSIDE FARMS RD 78741,5107 RIVERSIDE LP,,2,cluster:15; concentration:44,,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521
1000783,RIVERSIDE FARMS RD 78741,5107 RIVERSIDE LP,,2,cluster:15; concentration:44,,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521
1000784,RIVERSIDE FARMS RD 78741,5107 RIVERSIDE LP,,2,cluster:15; concentration:44,,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521
1000785,RIVERSIDE FARMS RD 78741,5107 RIVERSIDE LP,,2,cluster:15; concentration:44,,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521
1000786,RIVERSIDE FARMS RD 78741,5107 RIVERSIDE LP,,2,cluster:15; concentration:44,,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521
1000787,RIVERSIDE FARMS RD 78741,5107 RIVERSIDE LP,,2,cluster:15; concentration:44,,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521
1000788,RIVERSIDE FARMS RD 78741,5107 RIVERSIDE LP,,2,cluster:15; concentration:44,,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521
1000789,RIVERSIDE FARMS RD 78741,5107 RIVERSIDE LP,,2,cluster:15; concentration:44,,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521
1000790,RIVERSIDE FARMS RD 78741,5107 RIVERSIDE LP,,2,cluster:15; concentration:44,,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521
1000791,RIVERSIDE FARMS RD 78741,5107 RIVERSIDE LP,,2,cluster:15; concentration:44,,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521
1000792,RIVERSIDE FARMS RD 78741,5107 RIVERSIDE LP,,2,cluster:15; concentration:44,,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521
1000793,RIVERSIDE FARMS RD 78741,5107 RIVERSIDE LP,,2,cluster:15; concentration:44,,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521
1000794,RIVERSIDE FARMS RD 78741,5107 RIVERSIDE LP,,2,cluster:15; concentration:44,,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521
1000795,RIVERSIDE FARMS RD 78741,5107 RIVERSIDE LP,,2,cluster:15; concentration:44,,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521
1000796,RIVERSIDE FARMS RD 78741,5107 RIVERSIDE LP,,2,cluster:15; concentration:44,,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521
1000797,RIVERSIDE FARMS RD 78741,5107 RIVERSIDE LP,,2,cluster:15; concentration:44,,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521
1000798,RIVERSIDE FARMS RD 78741,5107 RIVERSIDE LP,,2,cluster:15; concentration:44,,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521
1000799,RIVERSIDE FARMS RD 78741,5107 RIVERSIDE LP,,2,cluster:15; concentration:44,,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521
1000800,RIVERSIDE FARMS RD 78741,5107 RIVERSIDE LP,,2,cluster:15; concentration:44,,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521
1000801,RIVERSIDE FARMS RD 78741,5107 RIVERSIDE LP,,2,cluster:15; concentration:44,,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521
1000802,RIVERSIDE FARMS RD 78741,5107 RIVERSIDE LP,,2,cluster:15; concentration:44,,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521
1000803,RIVERSIDE FARMS RD 78741,5107 RIVERSIDE LP,,2,cluster:15; concentration:44,,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521
1000804,RIVERSIDE FARMS RD 78741,5107 RIVERSIDE LP,,2,cluster:15; concentration:44,,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521
1000805,RIVERSIDE FARMS RD 78741,5107 RIVERSIDE LP,,2,cluster:15; concentration:44,,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521
1000806,RIVERSIDE FARMS RD 78741,5107 RIVERSIDE LP,,2,cluster:15; concentration:44,,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521
1000807,RIVERSIDE FARMS RD 78741,5107 RIVERSIDE LP,,2,cluster:15; concentration:44,,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521
1000808,RIVERSIDE FARMS RD 78741,5107 RIVERSIDE LP,,2,cluster:15; concentration:44,,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521
1000809,RIVERSIDE FARMS RD 78741,5107 RIVERSIDE LP,,2,cluster:15; concentration:44,,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521
1000810,RIVERSIDE FARMS RD 78741,5107 RIVERSIDE LP,,2,cluster:15; concentration:44,,101 PARKLANE BLVD STE 102 SUGAR LAND TX 774785521
122942,3927 BALCONES DR 78731,5205 ACQUISITIONS LLC,,2,cluster:17; concentration:6,,3724 JEFFERSON ST STE 210 AUSTIN TX 787316221
157339,21812 BRIARCLIFF DR 78669,5205 ACQUISITIONS LLC,,2,cluster:17; concentration:6,,3724 JEFFERSON ST STE 210 AUSTIN TX 787316221
217523,1500 38 ST 78731,5205 ACQUISITIONS LLC,,2,cluster:17; concentration:6,,3724 JEFFERSON ST STE 210 AUSTIN TX 787316221
227699,2233 NORTH LOOP BLVD 78756,5205 ACQUISITIONS LLC,,2,cluster:17; concentration:6,,3724 JEFFERSON ST STE 210 AUSTIN TX 787316221
245664,7960 SHOAL CREEK BLVD AUSTIN 78757,5205 ACQUISITIONS LLC,,2,cluster:17; concentration:6,,3724 JEFFERSON ST STE 210 AUSTIN TX 787316221
553376,5526 U S HY 290 78735,5205 ACQUISITIONS LLC,,2,cluster:17; concentration:6,,3724 JEFFERSON ST STE 210 AUSTIN TX 787316221
349970,ABS 27 SUR 2 WILSON W ACR 1.2650,800 FM 1626 LLC,,2,cluster:23; concentration:5,,"5808 BALCONES DRIVE, SUITE 200 AUSTIN TX US 787314265"
349971,12011 POLK RD AUSTIN 78748,800 FM 1626 LLC,,2,cluster:23; concentration:5,,"5808 BALCONES DRIVE, SUITE 200 AUSTIN TX US 787314265"
350004,800 F M RD 1626,800 FM 1626 LLC,,2,cluster:23; concentration:5,,"5808 BALCONES DRIVE, SUITE 200 AUSTIN TX US 787314265"
351018,814 F M RD 1626 78748,800 FM 1626 LLC,,2,cluster:23; concentration:5,,"5808 BALCONES DRIVE, SUITE 200 AUSTIN TX US 787314265"
351085,820 FM 1626 AUSTIN 78748,800 FM 1626 LLC,,2,cluster:23; concentration:5,,"5808 BALCONES DRIVE, SUITE 200 AUSTIN TX US 787314265"
310882,3405 WILLOW SPRINGS RD 78704,801 RUBY LLC,,2,cluster:18; concentration:6,,3839 BEE CAVES RD STE 200 WEST LAKE HILLS TX 787466400
459979,8607 U S HY 290 78724,801 RUBY LLC,,2,cluster:18; concentration:6,,3839 BEE CAVES RD STE 200 WEST LAKE HILLS TX 787466400
459980,8200 TUSCANY WAY 78724,801 RUBY LLC,,2,cluster:18; concentration:6,,3839 BEE CAVES RD STE 200 WEST LAKE HILLS TX 787466400
459984,8815 U S HY 290 78724,801 RUBY LLC,,2,cluster:18; concentration:6,,3839 BEE CAVES RD STE 200 WEST LAKE HILLS TX 787466400
755463,5603 1 ST 78745,801 RUBY LLC,,2,cluster:18; concentration:6,,3839 BEE CAVES RD STE 200 WEST LAKE HILLS TX 787466400
808199,8601 U S HY 290 78724,801 RUBY LLC,,2,cluster:18; concentration:6,,3839 BEE CAVES RD STE 200 WEST LAKE HILLS TX 787466400
190316,201 EDWIN LN 78742,8900 RAMIREZ LANE LP,,2,cluster:16; concentration:7,,500 W 5TH ST STE 700 AUSTIN TX 787013833
190321,8900 RAMIREZ LN 78742,8900 RAMIREZ LANE LP,,2,cluster:16; concentration:7,,500 W 5TH ST STE 700 AUSTIN TX 787013833
